deg_urb,hhcomp,quant_inc,AirPoll_Deaths,Honesty,Crim,DivorceRT,PercDonated,EPS,Fert,IncomeIneq,GreenArea,HDI,Inflation,HouseCost,Sun,Support,TourDens,Unemp,PercWomen,LifeSat
DEG1,A1,QU1,36.5,72.5,6.35,1.55,0.485,3.3055556,1.4449999999999998,27.25,26.59605027839777,0.9285000000000001,5.699999999999999,6.75,2048.0,91.9,10141.36,5.5,41.5,6.966666666666666
DEG1,A1,QU1,37.5,73.0,11.65,1.7999999999999998,0.233,3.4444444,1.565,24.5,22.67164235626855,0.9464999999999999,6.75,7.6,1546.0,94.1,3116.125,5.949999999999999,43.8,6.6000000000000005
DEG1,A1,QU1,157.5,42.5,17.35,1.45,0.306,,1.79,39.05,15.200082988625988,0.826,7.9,13.35,2261.0,95.4,3213.25,4.7,24.200000000000003,4.666666666666667
DEG1,A1,QU1,20.5,83.0,7.85,1.9,0.423,4.5,1.455,31.25,16.14687880562675,0.967,1.6,14.05,1932.75,96.2,5829.585,4.6,,7.6000000000000005
DEG1,A1,QU1,73.0,52.5,10.05,,0.345,,1.38,29.15,3.2966333609113474,0.9075,5.199999999999999,2.5,3364.35,96.5,13312.970000000001,6.75,14.3,6.6000000000000005
DEG1,A1,QU1,73.0,55.0,6.35,1.95,0.402,2.9444444,1.7349999999999999,24.8,31.020673940824704,0.906,9.05,6.550000000000001,1668.0,95.5,3926.615,2.5,22.4,7.166666666666667
DEG1,A1,QU1,20.5,89.0,6.8,2.2,0.479,3.7222223,1.635,27.35,29.133898687105923,0.9584999999999999,5.2,15.1,1932.0,95.0,5717.205,4.8,41.9,6.5
DEG1,A1,QU1,7.5,74.0,4.9,1.9,0.336,3.2777777,1.51,31.25,,0.9005000000000001,11.95,4.65,1994.5,90.4,3737.46,5.9,27.2,6.5
DEG1,A1,QU1,103.5,50.5,19.5,,0.132,2.8888888,1.375,31.9,9.71431641519417,0.897,4.95,27.75,2910.0333333333333,88.2,9805.105,13.6,20.15,4.966666666666667
DEG1,A1,QU1,34.5,60.5,13.85,1.75,0.302,2.5,1.17,32.5,10.289504164853183,0.9115,5.65,9.55,2897.7153846153847,93.1,7493.400000000001,13.95,41.05,6.366666666666667
DEG1,A1,QU1,2.0,87.5,9.25,2.1,0.331,4.1111112,1.3900000000000001,26.15,24.519199688244427,0.9475,4.65,4.85,1858.0,96.4,3560.1949999999997,7.25,45.75,7.233333333333333
DEG1,A1,QU1,29.5,71.5,16.2,,0.259,4.8888888,1.8050000000000002,29.55,16.6936478294922,0.9155,4.0,6.5,2315.125,90.6,5697.615,7.6,37.85,6.466666666666666
DEG1,A1,QU1,106.0,48.5,1.9,1.25,0.295,,1.58,28.85,30.708146365075418,0.881,6.699999999999999,4.15,2272.0,90.2,20664.255,7.15,32.15,6.333333333333333
DEG1,A1,QU1,98.5,42.5,5.699999999999999,1.85,0.249,2.8055556,1.585,27.5,29.297286332067316,0.8594999999999999,10.25,5.25,1932.5333333333335,95.1,2431.895,3.8,13.1,6.066666666666666
DEG1,A1,QU1,10.0,75.5,10.2,,0.518,3.0,1.6600000000000001,26.75,24.953364988613792,0.9464999999999999,5.25,3.1500000000000004,1453.2,94.4,4861.865,5.35,27.799999999999997,6.866666666666667
DEG1,A1,QU1,78.5,56.0,7.4,1.4,0.279,3.7222223,1.245,32.8,13.984939396638387,0.9065000000000001,5.3,6.9,2372.25,81.8,5930.705,8.8,34.4,6.566666666666666
