mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar32,mvar33,mvar34,mvar35,mvar36,mvar37,mvar38,mvar39,mvar42,mvar43,mvar44,mvar46,mvar47,default_ind
1794.0,1.9684,0.0,0.0,0.0,856.0,8609.0,8609.0,60545.0,24893.0,20287.0,21127.0,247750,991000.0,0.0,0.0,0.0,1.0,1.0,53.93,6098.18,46.39,1511.0,4593.0,3620.0,1490.0,12106.0,3528.0,646.0,1.3333,0.0,0.0,4.0,6.0,1.0,0.0,0.0,13.0,0.35724,0.0,0,0
1880.0,2.6101,0.0,0.0,0.0,0.0,19252.0,6342.0,59601.0,86906.0,36675.0,83417.0,396400,617468.0,1.0,3.0,3.0,3.0,3.0,208.33,2955.7,105.56,548.0,1004.0,1004.0,30386.0,3650.0,821.0,144.0,7.6667,0.0,0.0,9.0,1.0,14.0,0.0,0.0,14.0,0.28708,0.0,1,0
1768.0,2.4194,0.243,0.243,0.0,215.0,24501.0,2973.0,71725.0,65241.0,18373.0,15172.0,247751,331886.0,0.0,0.0,0.0,3.0,3.0,58.1,2901.17,36.79,1658.0,4715.0,4715.0,517.0,4775.0,4198.0,763.0,23.9167,0.0,0.0,8.0,10.0,11.0,0.0,0.06061,18.0,0.89232,0.0,0,0
1834.0,0.0651,0.0,0.0,0.0,2378.0,14944.0,13874.0,333795.0,122955.0,13021.0,18720.0,74325,92758.0,0.0,0.0,0.0,0.0,0.0,28.0,398.57,13.44,2759.0,4137.0,3255.0,30.0,14478.0,4106.0,3264.0,16.4167,1.0,1.0,13.0,27.0,5.0,1.0,0.0,24.0,0.78792,0.0,1,0
1785.0,0.2497,0.0,0.0,0.0,0.0,13243.0,1231.0,18246.0,28870.0,16520.0,20408.0,11892,449081.0,1.0,1.0,1.0,2.0,2.0,108.95,7996.77,108.95,720.0,1247.0,1247.0,1095.0,6296.0,1521.0,71.0,0.5,0.0,0.0,13.0,0.0,3.0,0.0,0.0,14.0,0.7636,0.0,0,0
1714.0,0.3262,13.494,0.0,0.0,50.0,35735.0,396.0,27609.0,55905.0,1126.0,1246.0,307210,73111.0,0.0,0.0,0.0,2.0,2.0,78.35,5081.48,205.73,2255.0,3650.0,3650.0,0.0,7391.0,3893.0,593.0,16.4167,0.0,0.0,10.0,5.0,3.0,1.0,0.21212,4.0,0.54951,0.0,0,0
1812.0,0.5901,0.0,0.0,0.0,284.0,24849.0,1456.0,5946.0,51472.0,4447.0,3521.0,39640,340255.0,0.0,0.0,0.0,0.0,0.0,61.58,6488.0,61.58,700.0,852.0,852.0,1460.0,4623.0,2829.0,92.0,13.8333,0.0,0.0,10.0,0.0,7.0,0.0,0.10526,10.0,0.55721,0.0,0,0
1792.0,2.1704,1.078,1.078,0.0,591.0,14222.0,949.0,27055.0,47776.0,11593.0,9240.0,173425,376580.0,0.0,0.0,0.0,1.0,1.0,80.68,8303.08,80.68,1987.0,7695.0,7695.0,183.0,9825.0,4623.0,588.0,12.4167,1.0,0.0,9.0,6.0,6.0,0.0,0.05,8.0,0.75922,0.0,0,1
1741.0,0.0493,0.829,0.0,0.0,0.0,30297.0,576.0,191442.0,53971.0,56301.0,22088.0,173425,123025.0,4.0,5.0,5.0,8.0,8.0,91.9,9450.35,86.29,2832.0,8578.0,5870.0,30.0,12623.0,1947.0,1769.0,0.1667,3.0,3.0,11.0,11.0,7.0,3.0,0.03226,11.0,0.6089,0.0,0,1
1706.0,10.7758,16.436,5.142,0.0,13.0,1041.0,496.0,20538.0,6194.0,13067.0,11828.0,247751,156594.0,0.0,0.0,0.0,11.0,16.0,88.72,9619.94,81.41,930.0,1947.0,1947.0,30.0,7178.0,3559.0,764.0,8.6667,0.0,0.0,29.0,6.0,26.0,0.0,0.26667,32.0,0.51061,1.0,0,0
1671.0,2.801,18.4,0.0,18.115,45.0,410.0,51.0,694.0,505.0,599.0,1412.0,42613,381040.0,0.0,0.0,0.0,2.0,2.0,86.29,8628.57,86.29,335.0,548.0,548.0,30.0,3072.0,183.0,22.0,1.3333,0.0,1.0,7.0,0.0,4.0,0.0,0.6,4.0,0.73316,0.0,0,1
1896.0,0.248,0.0,0.0,0.0,496.0,59460.0,34223.0,95290.0,263507.0,7821.0,30610.0,247751,157883.0,0.0,0.0,0.0,0.0,0.0,12.73,300.0,5.7,1671.0,3711.0,3711.0,30386.0,3802.0,3437.0,989.0,1.3333,0.0,0.0,9.0,11.0,12.0,0.0,0.0,22.0,0.75779,0.0,0,0
1727.0,1.6307,1.118,0.0,0.0,0.0,4771.0,4.0,1489.0,9454.0,959.0,1110.0,89190,129309.0,1.0,1.0,1.0,2.0,2.0,108.91,8417.39,84.17,233.0,487.0,487.0,456.0,3711.0,3711.0,23.0,0.5,0.0,0.0,7.0,0.0,7.0,0.0,0.16667,8.0,0.66805,0.0,0,1
1753.0,0.3464,0.0,0.0,0.0,0.0,4635.0,94.0,4004.0,8350.0,3909.0,634.0,247751,1833350.0,1.0,1.0,1.0,2.0,2.0,98.63,9862.5,98.63,395.0,517.0,517.0,30386.0,791.0,791.0,26.0,2.0833,0.0,0.0,4.0,0.0,2.0,0.0,0.0,4.0,0.41725,0.0,0,1
1714.0,0.5301,1.74,0.0,0.0,132.0,143.0,143.0,1487.0,275.0,222.0,2119.0,42613,175184.0,0.0,0.0,0.0,0.0,0.0,44.71,4471.06,169.46,999.0,2555.0,2555.0,30.0,3468.0,2403.0,230.0,2.3333,0.0,0.0,18.0,5.0,3.0,0.0,0.30435,16.0,0.11517,0.0,0,1
1761.0,0.0401,0.0,0.0,0.0,477.0,18371.0,4434.0,95560.0,41271.0,15784.0,22374.0,89190,490545.0,0.0,0.0,0.0,0.0,0.0,66.47,4210.37,26.71,1755.0,1795.0,578.0,1065.0,6540.0,760.0,1154.0,8.0,0.0,0.0,5.0,16.0,8.0,0.0,0.19048,11.0,0.66717,0.0,1,0
